"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2026";"0000";"18,3";"18,8";"17,9";"85,0";"87,0";"82,0";"15,4";"15,5";"15,2";"918,0";"918,2";"917,6";"2,9";"96,0";"5,6";"";"0,0"
"01/04/2026";"0100";"17,6";"17,9";"17,3";"89,0";"91,0";"87,0";"15,4";"15,5";"15,4";"918,5";"918,8";"918,2";"2,5";"92,0";"5,3";"";"0,0"
"01/04/2026";"0200";"17,1";"17,3";"17,0";"92,0";"93,0";"91,0";"15,5";"15,6";"15,4";"918,8";"918,9";"918,6";"2,4";"88,0";"5,4";"";"0,0"
"01/04/2026";"0300";"16,7";"17,1";"16,3";"94,0";"95,0";"92,0";"15,4";"15,6";"15,2";"918,3";"918,7";"918,0";"1,7";"91,0";"3,3";"";"0,0"
"01/04/2026";"0400";"16,2";"16,4";"16,1";"95,0";"96,0";"94,0";"15,3";"15,5";"15,1";"917,9";"918,1";"917,8";"2,4";"96,0";"3,9";"";"0,0"
"01/04/2026";"0500";"16,0";"16,1";"15,9";"96,0";"96,0";"95,0";"15,2";"15,3";"15,0";"917,6";"917,9";"917,4";"1,7";"87,0";"3,8";"";"0,0"
"01/04/2026";"0600";"15,8";"16,0";"15,6";"97,0";"98,0";"96,0";"15,2";"15,3";"15,1";"917,1";"917,4";"916,7";"0,7";"104,0";"2,8";"";"0,0"
"01/04/2026";"0700";"16,0";"16,2";"15,7";"96,0";"97,0";"94,0";"15,2";"15,4";"15,0";"916,6";"916,8";"916,4";"0,5";"85,0";"1,5";"";"0,0"
"01/04/2026";"0800";"15,7";"15,9";"15,5";"98,0";"98,0";"97,0";"15,3";"15,4";"15,0";"916,5";"916,6";"916,4";"1,0";"95,0";"2,9";"";"0,0"
"01/04/2026";"0900";"15,9";"16,2";"15,6";"95,0";"98,0";"93,0";"15,0";"15,2";"14,6";"916,8";"917,0";"916,6";"0,8";"135,0";"2,6";"";"0,0"
"01/04/2026";"1000";"15,2";"15,7";"14,9";"97,0";"99,0";"94,0";"14,5";"14,7";"14,4";"917,2";"917,5";"917,0";"2,1";"103,0";"3,0";"";"0,0"
"01/04/2026";"1100";"15,9";"17,0";"15,0";"96,0";"99,0";"89,0";"15,1";"15,4";"14,7";"917,9";"918,2";"917,5";"0,9";"144,0";"2,4";"";"0,0"
"01/04/2026";"1200";"17,8";"18,7";"17,0";"86,0";"90,0";"80,0";"14,9";"15,3";"14,5";"918,3";"918,5";"918,2";"1,4";"141,0";"4,5";"";"0,0"
"01/04/2026";"1300";"20,1";"21,3";"18,7";"75,0";"81,0";"68,0";"15,1";"16,0";"14,3";"918,5";"918,6";"918,4";"1,5";"146,0";"3,8";"";"0,0"
"01/04/2026";"1400";"22,5";"23,4";"21,2";"67,0";"72,0";"62,0";"15,9";"17,4";"14,8";"918,5";"918,6";"918,3";"1,7";"146,0";"4,8";"";"0,0"
"01/04/2026";"1500";"23,1";"23,6";"22,3";"66,0";"70,0";"62,0";"16,2";"17,2";"15,4";"918,2";"918,4";"918,0";"1,6";"216,0";"4,5";"";"0,0"
"01/04/2026";"1600";"23,8";"24,3";"23,5";"64,0";"69,0";"61,0";"16,5";"17,7";"15,7";"917,8";"918,0";"917,5";"1,4";"210,0";"3,1";"";"0,0"
"01/04/2026";"1700";"24,1";"24,9";"23,6";"63,0";"69,0";"57,0";"16,7";"17,5";"16,0";"917,1";"917,4";"916,7";"1,6";"254,0";"3,5";"";"0,0"
"01/04/2026";"1800";"24,6";"25,0";"24,3";"60,0";"67,0";"56,0";"16,7";"18,2";"15,6";"916,5";"916,7";"916,2";"0,5";"143,0";"1,2";"";"0,0"
"01/04/2026";"1900";"24,6";"24,9";"24,2";"59,0";"68,0";"53,0";"16,5";"17,9";"15,4";"916,1";"916,3";"916,0";"1,2";"94,0";"2,5";"";"0,0"
"01/04/2026";"2000";"24,9";"25,6";"24,0";"61,0";"67,0";"56,0";"17,1";"17,8";"16,6";"915,9";"916,0";"915,8";"0,9";"144,0";"2,9";"";"0,0"
"01/04/2026";"2100";"24,4";"24,9";"22,8";"64,0";"73,0";"59,0";"17,3";"17,9";"16,6";"916,0";"916,1";"915,9";"0,4";"130,0";"1,8";"";"0,0"
"01/04/2026";"2200";"21,3";"22,7";"20,3";"76,0";"78,0";"71,0";"16,5";"17,0";"15,8";"916,1";"916,2";"916,0";"1,4";"103,0";"2,4";"";"0,0"
"01/04/2026";"2300";"19,6";"20,3";"19,2";"81,0";"84,0";"78,0";"15,9";"16,1";"15,3";"916,5";"917,0";"916,2";"0,6";"101,0";"1,7";"";"0,0"
"02/04/2026";"0000";"19,4";"19,7";"19,2";"77,0";"81,0";"74,0";"14,9";"15,7";"14,2";"917,4";"917,6";"917,0";"2,1";"275,0";"4,5";"";"0,0"
"02/04/2026";"0100";"19,1";"19,4";"18,8";"76,0";"80,0";"73,0";"14,4";"14,8";"13,9";"917,6";"917,8";"917,5";"0,7";"162,0";"2,2";"";"0,0"
